Constellation, Average Colinearity, Same Constellations Accross Cultures 
CON chinese 070,3.136607081895925, 1
CON chinese 073,3.124080203424703, 1
CON navajo 007,3.1158126398180785, 1
CON chinese 055,3.1140968790366097, 1
CON arabic_ancient 4203,3.113856323586407, 1
CON chinese 054,3.1109778408168647, 1
CON western Sge,3.1049802108500018, 2
CON chinese 101,3.102859382270327, 1
CON korean 027,3.100918605592464, 1
CON chinese 069,3.100236814745296, 1
CON western Pyx,3.092653149940231, 2
CON western_hlad Vul,3.0859751130785855, 1
CON korean 014,3.0822081433512856, 2
CON aztec 001,3.0814750019249253, 1
CON western_hlad Sge,3.0781651550534357, 3
CON korean 150,3.0753113502795526, 1
CON mandar 005,3.071167741194312, 1
CON korean 164,3.0614065164912323, 1
CON boorong Bbg,3.0606707563041806, 1
CON korean 121,3.047879796807826, 1
CON korean 200,3.046839212942915, 1
CON chinese 267,3.0455288841278416, 1
CON tongan 008,3.0329831829572624, 1
CON chinese 072,3.0299210691260035, 1
#CON arabic_arabian_peninsula 4202,3.010402174043801, 15
CON romanian Sfm,3.010402174043801, 1
#CON indian N22,3.005450143122296, 7
CON sardinian 009,3.001842317266717, 1
CON hawaiian_starlines LUP,2.999157740319716, 1
CON korean 203,2.9983855353089366, 1
CON chinese 307,2.997695199870984, 1
CON chinese 184,2.995636131772999, 1
CON belarusian 012,2.9862874535944934, 1
CON ruelle Lac,2.9847024268355415, 1
CON chinese 229,2.9820601549145564, 1
CON korean 028,2.9672435219301025, 3
CON western_hlad CMa,2.963710787941128, 1
CON boorong Krk,2.9576010199092724, 1
CON korean 271,2.9511561683899856, 1
CON arabic_ancient 5999,2.9489336778894204, 1
CON korean 051,2.9487819686737167, 1
CON macedonian 018,2.9444090768760915, 3
CON korean 105,2.942168220462078, 1
CON korean 214,2.9404234251403643, 1
CON arabic_ancient 6299,2.938288886710636, 1
CON western_hlad Aql,2.932008312997654, 1
CON arabic_ancient 0499,2.929216300791895, 1
CON chinese 102,2.9280597401051027, 1
CON arabic_ancient 1501,2.9266008941985717, 1
CON arabic_ancient 1502,2.9257305824563327, 1
CON chinese 277,2.924632895364912, 1
CON korean 236,2.923794254471769, 2
CON chinese 268,2.91994654791957, 1
CON ruelle Psc,2.9190490797565136, 1
CON western Aql,2.916248828152881, 2
CON boorong Cwp,2.9111479405909675, 1
CON chinese 156,2.89885209818776, 1
CON anutan 001,2.8910374887695327, 1
CON korean 026,2.88829277838286, 2
CON arabic_al-sufi Sge,2.8872289975874406, 1
CON arabic_ancient 5099,2.8867195456323524, 1
CON korean 099,2.8846772311232645, 1
CON western And,2.8846198667162173, 3
CON western_hlad Vir,2.877677852185154, 1
CON sami 002,2.873709268536974, 1
CON chinese 113,2.871409025009402, 1
CON korean 233,2.87006462299284, 1
CON chinese 269,2.8684442553669403, 1
CON inuit 004,2.8664057726053973, 1
CON boorong Djt,2.863507214040585, 1
CON chinese 262,2.862923718550257, 1
CON korean 199,2.857266773922548, 1
CON chinese 165,2.854114142812724, 1
CON korean 147,2.8540295340669153, 1
CON japanese_moon_stations 22,2.8507706327972757, 1
CON boorong Tot,2.8499482325244867, 1
CON chinese 301,2.8469405359408673, 1
CON western_hlad Cnc,2.842401197189182, 1
CON western_hlad Dor,2.8420002731872547, 1
CON western Cnc,2.8419068585129086, 2
CON romanian Rac,2.8419068585129086, 2
CON japanese_moon_stations 19,2.8403640910421046, 1
CON chinese 081,2.8379123192465094, 1
CON korean 033,2.8365845627114448, 1
CON macedonian 017,2.8333201961825485, 1
CON indian N17,2.832863016936213, 4
CON arabic_al-sufi Gem,2.8304975110506443, 1
CON korean 119,2.830208176648415, 2
CON korean 059,2.8267734041137174, 1
CON western Tau,2.8266654935875835, 2
CON anutan 005,2.8244864534854823, 1
CON korean 159,2.820438568387214, 1
CON korean 131,2.818399389935173, 1
CON korean 034,2.8141948549580915, 1
CON western_hlad Ind,2.8120529138378862, 1
CON western_rey Pyx,2.8095855187849654, 2
CON chinese 143,2.8020974866173813, 1
CON chinese 033,2.8020606385762115, 1
CON korean 212,2.800498447983447, 1
CON lokono 006,2.7977710771308066, 1
CON arabic_ancient 5399,2.795477407397572, 1
CON arabic_ancient 2004,2.791545554670888, 1
CON chinese 251,2.7870327088567293, 1
CON romanian Pma,2.7858742991135133, 1
CON arabic_al-sufi Cep,2.781270626747114, 1
CON korean 252,2.77201822879471, 2
CON western Cyg,2.770191892876756, 3
CON arabic_ancient 4205,2.768051514890398, 1
CON arabic_arabian_peninsula 3399,2.7678418680283086, 3
CON arabic_al-sufi Can,2.7659927751132924, 1
CON western_hlad Ser,2.7576242979352537, 1
CON arabic_ancient 1899,2.753582697993473, 1
CON boorong Tbg,2.7511803260157164, 1
CON chinese 224,2.7499110817966734, 1
CON korean 114,2.7457413603369365, 1
CON western_rey Gem,2.744029871905464, 1
CON arabic_ancient 4204,2.7423334191132986, 1
CON chinese 213,2.740188560948529, 1
CON ruelle Cyg,2.737036479571819, 1
CON lokono 007,2.7369663772148125, 1
CON korean 179,2.736642897314162, 1
CON korean 246,2.731682138718777, 1
CON western Gem,2.729197064987984, 4
CON korean 249,2.725745546487127, 1
CON chinese 149,2.7194932975980706, 1
CON chinese 216,2.7189036012059247, 1
CON western_hlad Cyg,2.7133971384812487, 1
CON chinese 022,2.7115352860100765, 1
CON western Cha,2.7109683169721652, 2
CON korean 161,2.70548606417067, 2
CON western_hlad Oph,2.7036589912024755, 1
CON chinese 120,2.7013568928055895, 1
CON arabic_ancient 2699,2.700197349577784, 1
CON western Cae,2.69972963812503, 2
CON korean 149,2.699230802414146, 2
CON arabic_ancient 6099,2.6984521906773633, 1
CON western CrA,2.6948740420112194, 2
CON western_rey Cap,2.6945859107023957, 1
CON western_SnT Oph,2.6943768991243027, 1
CON arabic_ancient 1902,2.6936273935794213, 2
CON chinese 031,2.6932647324509453, 1
CON arabic_al-sufi SHr,2.6926706303758685, 1
CON korean 060,2.6888744210124234, 1
CON chinese 032,2.6881228747244683, 1
CON western_rey Aql,2.6879874429946518, 1
CON navajo 001,2.6848857824681445, 1
CON blackfoot 003,2.684541729000673, 1
CON korean 011,2.68343687100704, 1
CON anutan 003,2.6820622431274357, 1
CON arabic_ancient 2006,2.681836312949895, 1
CON tukano 009,2.678977565188942, 1
CON korean 138,2.6778188986481846, 1
CON hawaiian_starlines MAN,2.6712449176581377, 1
CON western_rey Crv,2.670071831151164, 1
CON bugis 010,2.668936260781723, 1
CON chinese 270,2.6673901141162055, 1
CON western_hlad Sco,2.667176632172679, 1
CON arabic_ancient 3003,2.664892677539299, 3
CON indian N18,2.6614554534955825, 4
CON western Sco,2.6612315246650917, 3
CON arabic_arabian_peninsula 2999,2.6602791919212647, 3
CON western_hlad Sct,2.6600996642979178, 1
CON western Ari,2.6587782954376973, 4
CON chinese 118,2.658124683543355, 1
CON western_hlad Gem,2.6577925479512396, 1
CON korean 181,2.655245019226124, 1
CON boorong Bun,2.6513483591551172, 1
CON korean 247,2.6496823433883985, 1
CON arabic_ancient 2099,2.648166041070325, 1
CON arabic_ancient 4899,2.6455799786487297, 1
CON korean 251,2.6450180540988915, 1
CON macedonian 014,2.640194031521995, 1
CON bugis 008,2.6370742270921848, 1
CON western_hlad Cap,2.6312619129611656, 1
CON western_hlad Per,2.6290462583953804, 1
CON boorong Won,2.62529590423083, 1
CON korean 191,2.624855498900135, 1
CON western_SnT And,2.6214190262179793, 1
CON western_rey Mon,2.6212005152800173, 1
CON western_hlad Lyn,2.620899184233128, 1
CON korean 202,2.6198036317368527, 2
CON navajo 004,2.619474178462392, 1
CON arabic_ancient 3004,2.618848508177988, 1
CON western_rey And,2.6149319371660567, 1
CON mandar 004,2.614892427143189, 1
CON romanian Sec,2.6139306811172935, 1
CON arabic_al-sufi Sco,2.6124130248431285, 1
CON boorong Ydk,2.612254332458877, 1
CON western Per,2.611802753482692, 3
CON chinese 046,2.611574198884193, 1
CON tupi 001,2.611174373841687, 1
CON korean 050,2.6090851358184755, 1
CON western_rey CrA,2.605797015357024, 1
CON arabic_ancient 5899,2.6055061697482875, 1
CON chinese 302,2.605185772889256, 1
CON chinese 057,2.604198127813686, 1
CON egyptian 005,2.6036779892587227, 1
CON korean 143,2.601170349831785, 1
CON western_rey Lup,2.600005592079733, 1
CON lokono 012,2.5956146838178884, 1
CON egyptian 014,2.5942871354276758, 1
CON arabic_ancient 2899,2.5908572020389187, 1
CON chinese 182,2.588214768817985, 1
CON chinese 220,2.5871196018116014, 1
CON arabic_ancient 4299,2.5863643680777035, 2
CON romanian Jgb,2.5844634997911906, 1
CON korean 141,2.581858677733314, 1
CON chinese 199,2.5813946877228062, 1
CON tukano 003,2.5812990506012246, 1
CON arabic_arabian_peninsula 2808,2.5812564761203127, 3
CON western Cen,2.5799855644676217, 2
CON chinese 062,2.57945178975168, 1
CON western_SnT Tau,2.5777237065958993, 1
CON western_hlad Tau,2.575763181726708, 1
CON korean 010,2.5735690107484492, 3
CON boorong Kul,2.5708127967786476, 1
CON arabic_ancient 1999,2.5677460928483886, 2
CON tukano 005,2.5655171149769544, 1
CON romanian Vca,2.564874756812853, 1
CON chinese 001,2.5644165104818, 1
CON western Mic,2.562917579331264, 2
CON chinese 091,2.5625477308882743, 1
