Constellation, Average Equal Spacing, Same Constellations Accross Cultures 
#CON ruelle Cru,0.0, 1
CON western Cir,0.0009558472449996414, 5
CON korean 233,0.001482610620604674, 1
CON korean 240,0.0015635128601770298, 1
CON western_rey Com,0.0018205413860447606, 1
CON korean 060,0.0021873792452987983, 1
CON macedonian 012,0.002383245225521413, 1
CON korean 132,0.002590989137633226, 1
CON boorong Bbg,0.0027505788260987485, 1
CON korean 078,0.002953361069344518, 1
CON korean 082,0.0032774559912319146, 1
CON chinese 072,0.0032774559912319146, 1
CON western_hlad Sge,0.0046636626582158835, 3
#CON arabic_arabian_peninsula 4202,0.005468056766686491, 15
CON romanian Sfm,0.005468056766686491, 1
CON western Tuc,0.0065324332263102525, 2
CON korean 076,0.0075249744908030824, 1
CON macedonian 017,0.007639341632212304, 1
CON korean 133,0.008783367537130715, 1
CON arabic_ancient 2002,0.009219207585821287, 1
CON chinese 180,0.009371809002020337, 1
CON bugis 012,0.009915871344379767, 1
CON chinese 224,0.010246574858033874, 1
CON chinese 101,0.010391532898529121, 1
CON western Com,0.010798948602122382, 5
CON korean 127,0.011325315234009259, 1
CON korean 101,0.013793782975850655, 1
CON western_hlad Ind,0.014267653615502807, 1
CON macedonian 018,0.01536913315903432, 3
CON korean 135,0.015890726969493674, 1
CON korean 181,0.01654029734327797, 1
CON arabic_arabian_peninsula 2650,0.016941915599835655, 1
CON tukano 007,0.018009075907712408, 3
CON maori 005,0.018269517992352307, 4
CON chinese 071,0.01901661246071301, 1
CON western Cep,0.020030445476684054, 2
CON korean 142,0.02078792600489182, 1
CON western_hlad Cam,0.02219001125371291, 1
CON chinese 055,0.02271720190387777, 1
CON ruelle Cep,0.02287453262789753, 1
CON arabic_ancient 4399,0.023722151757326684, 1
CON korean 152,0.02372288212479101, 2
CON chinese 306,0.02406919669046581, 1
CON korean 131,0.024089758420773544, 1
CON chinese 192,0.02421405014313288, 1
CON chinese 237,0.025646144951379624, 1
CON navajo 007,0.025818162032242575, 1
CON romanian Tau,0.026506873877893567, 2
CON western_hlad Cep,0.026640172828990182, 1
CON arabic_ancient 5999,0.026748086660999294, 1
CON arabic_ancient 1899,0.02714508115586456, 1
CON korean 019,0.027278937824367355, 1
CON indian N02,0.027624078769981852, 2
CON korean 128,0.02775665538986491, 1
CON chinese 313,0.027799004308717595, 1
CON ruelle Cas,0.028541541983653457, 1
CON korean 018,0.028562474139733507, 2
CON western_SnT Cam,0.02857086836673306, 1
CON korean 081,0.028662723819014246, 2
CON egyptian 027,0.028905026485046684, 1
CON western_hlad Vir,0.03012606895325367, 1
CON indian N18,0.030451600011878466, 4
CON romanian Pma,0.030811718410488444, 1
CON chinese 219,0.03109235075376686, 1
CON egyptian 008,0.031169804530710887, 1
CON korean 028,0.03144005805238498, 3
CON chinese 214,0.031469288721488214, 1
CON korean 065,0.03184857391899393, 2
CON indian N16,0.03198749401324941, 1
CON japanese_moon_stations 21,0.03211300754934571, 1
CON korean 015,0.03221897126426282, 1
CON western_SnT Tel,0.03259450259820629, 1
CON chinese 193,0.033057798174892544, 1
CON western_rey GSq,0.03326192950750129, 2
CON chinese 117,0.03339527058854497, 1
CON sardinian 009,0.03361060766539831, 1
CON japanese_moon_stations 24,0.033727918545482016, 1
CON arabic_arabian_peninsula 2805,0.03403581853835741, 3
CON indian N17,0.03439246016061587, 4
CON chinese 030,0.03439644285940205, 1
CON chinese 083,0.03448723208875076, 1
CON korean 007,0.03455712668552918, 2
CON korean 033,0.034729748463086546, 1
CON chinese 070,0.034745101717827465, 1
CON korean 052,0.03486215756826444, 3
CON chinese 143,0.0349724484130533, 1
CON chinese 268,0.03509883584264917, 1
CON romanian Tdz,0.03545181896040337, 1
CON boorong Wpl,0.035737992293675525, 1
CON korean 203,0.03588616581941928, 1
CON korean 024,0.03594412953960702, 1
CON western_hlad Aql,0.03595406019798675, 1
CON hawaiian_starlines KHK,0.036880960732931546, 1
CON western Ret,0.03695355514764867, 5
CON western_hlad Cae,0.0370915477930677, 2
CON chinese 035,0.037154817863063315, 1
CON chinese 273,0.037225311843290976, 1
CON chinese 309,0.03788509774186044, 1
CON indian N28,0.038149901549563714, 1
CON western_hlad Lyn,0.0381610678226767, 1
CON western Tra,0.03835911265630062, 5
CON bugis 001,0.03856321682458216, 1
CON korean 202,0.038636419687496294, 2
CON ruelle Aur,0.0387509755726816, 1
CON arabic_ancient 4203,0.03905948902496664, 1
CON korean 241,0.039856901518785924, 1
CON korean 167,0.040234363457731716, 1
CON korean 134,0.041197083589248396, 1
CON chinese 199,0.04130904555515899, 1
CON western_hlad Del,0.041461376201422456, 1
CON korean 063,0.04149245285625364, 2
CON western Del,0.04149245285625364, 4
CON arabic_ancient 2399,0.04149245285625364, 1
CON korean 010,0.04226018400553269, 3
CON korean 218,0.042471620724937896, 1
CON korean 257,0.04262237692964377, 1
CON hawaiian_starlines LUP,0.0426627221778962, 1
CON western_rey LMi,0.04266780422047774, 2
CON korean 176,0.04279297256256753, 2
CON arabic_al-sufi Can,0.04279297256256753, 1
CON chinese 007,0.042838144526954475, 1
CON arabic_arabian_peninsula 2803,0.04291823509198678, 3
CON chinese 267,0.043005101211085583, 1
CON romanian Jgb,0.04347701111592302, 1
CON anutan 010,0.043576886881995756, 1
CON korean 124,0.04378863698540214, 1
CON korean 149,0.04390923878438158, 2
CON western_hlad Lib,0.04416217959557648, 1
CON chinese 173,0.04504006078447906, 1
CON chinese 195,0.045105976974136486, 1
CON inuit 005,0.04527240345590979, 1
CON korean 057,0.04610587778090268, 1
CON western_rey Sct,0.04610683675305788, 2
CON chinese 286,0.04730994498605071, 1
CON chinese 297,0.04772978701465172, 1
CON chinese 190,0.04786427195321674, 1
CON ruelle Mus,0.04833613294617758, 1
#CON arabic_arabian_peninsula 300,0.04894364164061712, 10
CON arabic_arabian_peninsula 2603,0.049154226396429655, 6
CON chinese 249,0.04933039924622218, 1
CON indian N05,0.049724175005895155, 1
CON korean 231,0.04977078926736389, 1
CON arabic_al-sufi Crv,0.050679638791613704, 1
CON western_hlad Nor,0.05081839490827679, 3
CON arabic_al-sufi Cas,0.05108798208730577, 1
CON chinese 233,0.05118688900627899, 1
CON korean 147,0.051324326498300044, 1
CON western_rey Dor,0.051656953545602936, 2
CON western_SnT Leo,0.05186076686238803, 1
CON chinese 265,0.0518723941143174, 1
CON arabic_ancient 4205,0.05222929734640028, 1
CON korean 237,0.05226326223503931, 1
CON chinese 232,0.052802668522169874, 1
CON korean 062,0.0528125140008092, 1
CON western Pav,0.053192255268846744, 3
CON chinese 081,0.05354204433962671, 1
CON japanese_moon_stations 03,0.05427985207135577, 1
CON arabic_al-sufi Ari,0.05440174485127149, 1
CON japanese_moon_stations 22,0.05450761867848082, 1
CON tupi 006,0.05457106635595003, 1
CON western_rey Cnc,0.05499222168563671, 1
CON western Nor,0.05504221759624331, 2
CON chinese 087,0.05520494791448016, 1
CON korean 064,0.0552719189286108, 1
CON western Mic,0.055381241650320934, 2
CON romanian Chi,0.05555881279857516, 1
CON arabic_arabian_peninsula 2808,0.05619555839457189, 3
CON western_hlad Cet,0.056214327315658744, 1
