Constellation, Average Magnitude, Same Constellations Accross Cultures 
CON korean 168,-1.44, 2
CON korean 174,-0.62, 2
CON bugis 010,-0.5533333333333333, 1
CON macedonian 007,-0.52, 1
CON indian N15,-0.05, 4
CON sami 006,0.03, 2
CON belarusian 006,0.08, 1
CON hawaiian_starlines NAK,0.3, 5
CON anutan 003,0.395, 1
CON sami 009,0.4, 1
CON indian N06,0.45, 1
CON chinese 144,0.61, 1
CON mongolian 004,0.68, 1
CON sami 007,0.76, 1
CON indian N04,0.87, 2
CON egyptian 024,0.9675, 1
CON indian N14,0.98, 1
CON inuit 002,1.045, 1
CON arabic_arabian_peninsula 4213,1.085, 1
CON hawaiian_starlines KOM,1.0936363636363637, 1
CON chinese 151,1.1400000000000001, 1
CON anutan 011,1.1666666666666667, 1
CON korean 092,1.17, 2
CON inuit 004,1.18, 1
CON korean 023,1.26, 1
CON inuit 007,1.3150000000000002, 1
CON japanese_moon_stations 21,1.325, 1
CON indian N10,1.36, 1
#CON indian N07,1.37, 7
CON sami 010,1.37, 1
CON hawaiian_starlines KHK,1.4314285714285713, 1
CON korean 149,1.4314285714285713, 2
CON romanian Sfm,1.4649999999999999, 1
CON egyptian 023,1.4933333333333334, 1
CON romanian Rar,1.595, 1
CON bugis 008,1.595, 1
CON tukano 010,1.6, 2
CON hawaiian_starlines HAN,1.6, 10
#CON ruelle Cru,1.6, 1
CON arabic_ancient 5799,1.605, 2
#CON arabic_arabian_peninsula 2801,1.645, 11
CON arabic_arabian_peninsula 4501,1.665, 1
CON sardinian 004,1.6742857142857144, 2
CON western_hlad Ori,1.67625, 1
CON inuit 001,1.7400000000000002, 1
CON bugis 011,1.75, 1
CON korean 130,1.794, 2
CON chinese 266,1.794, 1
CON mandar 001,1.796, 1
CON hawaiian_starlines NAV,1.8085714285714285, 1
CON romanian Cma,1.8333333333333333, 1
#CON arabic_arabian_peninsula 4202,1.8933333333333333, 15
CON arabic_ancient 5699,1.9, 2
CON macedonian 004,1.97, 1
CON sami 004,1.97, 2
CON korean 169,1.98, 1
CON egyptian 009,1.98, 1
CON western_hlad Aur,2.0, 1
CON hawaiian_starlines IWI,2.02875, 1
CON korean 107,2.04, 2
CON western_rey UMaP,2.075, 2
CON korean 253,2.08, 2
CON bugis 001,2.086, 1
CON western Aur,2.11, 4
CON western_rey CruF,2.1175, 2
CON egyptian 025,2.1175, 1
CON indian N12,2.14, 1
CON arabic_arabian_peninsula 4299,2.142222222222222, 1
CON chinese 048,2.15, 1
CON arabic_arabian_peninsula 2906,2.16, 4
CON ruelle Cen,2.1709090909090913, 1
CON japanese_moon_stations 01,2.1799999999999997, 2
CON western_hlad CMa,2.19125, 1
CON western_hlad Car,2.19125, 1
CON korean 012,2.1950000000000003, 1
CON inuit 005,2.223333333333333, 1
CON chinese 227,2.23, 2
CON tukano 011,2.245714285714286, 6
#CON macedonian 001,2.245714285714286, 11
CON sami 002,2.245714285714286, 1
CON egyptian 008,2.25, 1
CON indian N20,2.255, 1
CON indian N18,2.26, 4
CON ruelle Gru,2.2666666666666666, 1
CON belarusian 020,2.28, 1
CON korean 021,2.3, 1
CON korean 158,2.3000000000000003, 2
CON arabic_ancient 4599,2.3020000000000005, 1
CON bugis 005,2.314, 1
CON indian N21,2.325, 1
CON arabic_arabian_peninsula 2602,2.325, 3
CON macedonian 019,2.3325, 1
CON korean 181,2.335, 1
CON arabic_ancient 5399,2.3507692307692305, 1
CON macedonian 018,2.374, 3
CON bugis 006,2.379, 1
CON sami 001,2.3879999999999995, 1
#CON indian N22,2.3966666666666665, 7
CON macedonian 003,2.4, 1
CON navajo 007,2.425, 1
CON ruelle CMa,2.4322222222222227, 1
CON bugis 002,2.433333333333333, 1
CON egyptian 013,2.436363636363637, 1
CON arabic_arabian_peninsula 2504,2.45, 6
CON tukano 008,2.4528571428571433, 1
CON western_rey GSq,2.4575, 2
CON blackfoot 001,2.46375, 1
CON indian N25,2.465, 6
CON romanian Jgb,2.467142857142857, 1
CON western_hlad Cen,2.47, 1
CON macedonian 006,2.495, 1
CON romanian C3i,2.495, 1
CON korean 171,2.5, 1
CON western_SnT Aur,2.51, 1
CON arabic_ancient 5599,2.525, 2
CON arabic_arabian_peninsula 0100,2.535, 4
#CON arabic_arabian_peninsula 300,2.536, 10
CON arabic_ancient 2001,2.536, 1
CON western Tra,2.5366666666666666, 5
CON korean 165,2.54, 1
CON arabic_arabian_peninsula 2999,2.560625, 3
CON arabic_arabian_peninsula 2805,2.57, 3
CON hawaiian_starlines LUP,2.572222222222222, 1
CON indian N17,2.58, 4
CON romanian Gem,2.587142857142857, 1
CON boorong Wpl,2.592, 1
CON western Sco,2.5992307692307692, 3
CON chinese 244,2.616, 1
CON western_rey Aur,2.6175, 1
CON ruelle Sco,2.618666666666667, 1
CON hawaiian_starlines MAN,2.6207142857142856, 1
CON arabic_al-sufi Sco,2.626, 1
CON sardinian 009,2.6266666666666665, 1
CON arabic_arabian_peninsula 4206,2.64, 3
CON korean 038,2.643333333333333, 2
CON korean 040,2.6475, 2
CON arabic_ancient 3001,2.6475, 3
CON western_SnT CMa,2.6710000000000003, 1
CON arabic_arabian_peninsula 2901,2.6799999999999997, 3
CON inuit 010,2.69, 1
CON indian N19,2.7055555555555557, 1
CON mandar 005,2.7099999999999995, 1
CON boorong Wrn,2.72, 1
CON arabic_arabian_peninsula 3099,2.727777777777778, 3
CON mandar 003,2.73, 1
CON bugis 003,2.73, 1
CON siberian Kic,2.734, 1
CON ruelle Ori,2.734666666666667, 1
CON maori 006,2.735555555555555, 1
CON western_SnT Sco,2.7427777777777775, 1
CON western Cen,2.7517647058823527, 2
CON western_hlad Sco,2.7525, 1
CON anutan 005,2.7533333333333334, 1
CON ruelle Lyr,2.755, 1
CON western_hlad Vel,2.7550000000000003, 2
CON chinese 149,2.7600000000000002, 1
CON mandar 002,2.761176470588235, 1
CON maori 004,2.7633333333333336, 1
CON korean 101,2.764, 1
CON western_rey Cas,2.771666666666667, 1
CON korean 254,2.78, 2
CON ruelle Gem,2.78, 1
CON arabic_ancient 3002,2.7849999999999997, 2
CON ruelle Lup,2.7875, 1
CON western_SnT Car,2.793333333333334, 1
CON hawaiian_starlines KAO,2.7955555555555556, 1
CON western Leo,2.7955555555555556, 2
CON western_hlad Leo,2.7955555555555556, 2
CON hawaiian_starlines MEE,2.7975, 4
CON macedonian 015,2.8075, 1
CON arabic_arabian_peninsula 2650,2.81, 1
CON boorong Kts,2.82, 1
CON mandar 004,2.8272727272727276, 1
CON western_hlad Cyg,2.8299999999999996, 1
CON western_hlad Tau,2.834285714285714, 1
CON arabic_ancient 1001,2.84, 1
CON chinese 024,2.843, 1
CON korean 109,2.8433333333333337, 4
CON sami 008,2.85, 1
CON sardinian 007,2.855, 1
CON chinese 146,2.865, 1
CON western_rey Vel,2.8755555555555556, 1
CON ruelle Sgr,2.8760000000000003, 1
CON ruelle CarPupVel,2.876538461538462, 1
CON ruelle Aur,2.8777777777777778, 1
CON chinese 148,2.8779999999999997, 1
CON korean 173,2.885, 1
CON western_hlad Aql,2.8871428571428575, 1
CON ruelle UMa,2.888125, 1
CON korean 196,2.89, 1
CON korean 028,2.9025, 3
CON western_rey Car,2.9066666666666667, 1
CON arabic_ancient 1899,2.9160000000000004, 1
CON chinese 192,2.9166666666666665, 1
CON western Car,2.9173333333333336, 2
CON boorong Djt,2.92, 1
CON western_hlad Pup,2.9214285714285713, 1
CON western_SnT Pup,2.9254545454545453, 1
CON western Boo,2.93, 3
CON western_rey TrA,2.93, 2
CON romanian Sco,2.944545454545455, 1
CON indian N11,2.9450000000000003, 4
CON western Vel,2.948, 2
CON japanese_moon_stations 12,2.9499999999999997, 1
CON arabic_ancient 0699,2.95, 2
CON korean 081,2.9500000000000006, 2
CON chinese 091,2.952, 1
CON western_rey Sco,2.9645, 1
CON korean 046,2.966666666666667, 2
CON korean 137,2.97, 2
CON western_hlad Hyi,2.98, 2
CON western And,2.983333333333333, 3
CON western CMa,2.9859999999999998, 1
CON indian N28,2.986666666666667, 1
CON western_SnT UMa,2.9915789473684207, 1
CON western_rey Uma,2.9915789473684216, 1
CON tupi 002,2.9931818181818177, 1
CON anutan 009,2.9966666666666666, 1
CON korean 227,3.0, 2
CON western Oph,3.001428571428572, 2
CON western_rey CMa,3.005625, 1
CON western UMa,3.006111111111111, 3
CON egyptian 003,3.0090909090909093, 1
CON korean 052,3.013333333333333, 3
CON western_hlad Per,3.0144444444444445, 1
CON arabic_ancient 2005,3.0175, 1
CON chinese_contemporary CMa,3.018125, 1
CON arabic_ancient 2599,3.02125, 1
CON aztec 003,3.023333333333333, 1
CON romanian Pma,3.0244444444444447, 1
CON romanian Tdz,3.0271428571428567, 1
CON western_SnT Sgr,3.033571428571429, 1
CON western Ari,3.035, 4
CON korean 013,3.04, 2
#CON indian N13,3.042, 2
CON ruelle Crv,3.042, 2
CON maori 005,3.0439999999999996, 4
CON tupi 007,3.0439999999999996, 1
CON egyptian 027,3.0475000000000003, 1
CON western_SnT Cyg,3.0540000000000003, 1
CON western Lyr,3.072, 5
CON western_rey Pup,3.0725000000000002, 1
CON northern_andes 005,3.082857142857143, 1
CON anutan 010,3.084444444444445, 1
CON western_hlad Boo,3.0870000000000006, 1
CON western Cyg,3.102, 3
CON korean 062,3.102222222222222, 1
CON macedonian 013,3.106666666666667, 1
CON chinese 044,3.11, 1
CON ruelle Cas,3.1100000000000003, 1
CON western_SnT Cen,3.113809523809524, 1
CON western_hlad Gem,3.1169230769230767, 1
CON chinese 162,3.12, 1
CON ruelle Peg,3.1216666666666666, 1
CON western Aql,3.122222222222222, 2
CON romanian Cat,3.13, 1
CON tukano 007,3.1319999999999997, 3
CON boorong Krk,3.1371428571428575, 1
CON western_hlad UMa,3.139473684210526, 1
CON western Per,3.151818181818182, 3
CON western Cep,3.156, 2
CON chinese 097,3.174444444444445, 1
CON arabic_ancient 2002,3.1766666666666663, 1
CON korean 154,3.185, 2
CON arabic_ancient 4499,3.185, 1
CON arabic_ancient 5099,3.1850000000000005, 1
CON korean 035,3.19, 2
CON western_SnT Lup,3.1933333333333334, 1
CON western Pup,3.204285714285714, 2
CON egyptian 005,3.206153846153846, 1
CON ruelle Col,3.2066666666666666, 1
CON arabic_ancient 2601,3.21, 1
CON anutan 006,3.21, 1
CON western_SnT Peg,3.2107692307692313, 1
CON chinese 232,3.213333333333333, 1
CON ruelle Ari,3.2199999999999998, 1
CON egyptian 012,3.221, 1
CON western_hlad Lib,3.224, 1
CON western_SnT Leo,3.2307692307692304, 1
CON boorong Mar,3.232, 1
CON western_SnT Tau,3.2325000000000004, 1
CON korean 153,3.24, 2
CON western Ori,3.2415789473684207, 2
CON arabic_arabian_peninsula 2804,3.245, 3
CON western_SnT Ori,3.2513636363636356, 1
CON korean 192,3.2516666666666665, 3
CON arabic_ancient 4299,3.2524, 2
CON ruelle Lep,3.252857142857143, 1
