Constellation, Min Colinearity, Same Constellations Accross Cultures 
CON chinese 070,0.004985571693868263, 1
CON chinese 073,0.017512450165090065, 1
CON navajo 007,0.02578001377171457, 1
CON chinese 055,0.027495774553183416, 1
CON arabic_ancient 4203,0.027736330003385934, 1
CON chinese 054,0.030614812772928435, 1
CON chinese 101,0.038733271319466134, 1
CON korean 027,0.04067404799732932, 1
CON western Pyx,0.0489395036495619, 2
CON chinese 069,0.05497534768560852, 1
CON western_hlad Vul,0.0556175405112076, 1
CON korean 014,0.05938451023850755, 2
CON western Sge,0.06342749853635743, 2
CON western_hlad Sge,0.06342749853635743, 3
CON boorong Bbg,0.0809218972856125, 1
CON chinese 267,0.0960637694619515, 1
CON tongan 008,0.10860947063253068, 1
CON chinese 072,0.11167158446378966, 1
CON korean 200,0.12492597572499786, 1
CON korean 164,0.1251070436967212, 1
CON korean 150,0.1260410948636448, 1
#CON arabic_arabian_peninsula 4202,0.13119047954599194, 15
CON aztec 001,0.13119047954599194, 1
CON romanian Sfm,0.13119047954599194, 1
CON mandar 005,0.13119047954599194, 1
#CON indian N22,0.13614251046749715, 7
CON korean 203,0.14320711828085653, 1
CON belarusian 012,0.15530519999529968, 1
CON korean 121,0.15549414921898652, 1
CON ruelle Lac,0.15689022675425157, 1
CON chinese 229,0.1840751323251535, 1
CON macedonian 018,0.19718357671370157, 3
CON sardinian 009,0.2156063919806388, 1
CON chinese 268,0.22164610567022303, 1
CON chinese 102,0.23017566042257576, 1
CON chinese 307,0.23115588814294474, 1
CON ruelle Psc,0.24922260800815987, 1
CON chinese 184,0.2525003682441107, 1
CON korean 026,0.2532998752069333, 2
CON korean 233,0.27152803059695296, 1
CON inuit 004,0.28291548045076187, 1
CON western_hlad Aql,0.28302617071678116, 1
CON korean 147,0.28756311952287783, 1
CON chinese 277,0.3019713388836487, 1
CON macedonian 017,0.3082724574072446, 1
CON indian N17,0.3087296366535801, 4
CON korean 028,0.3087296366535801, 3
CON korean 059,0.31481924947607576, 1
CON anutan 005,0.3171062001043108, 1
CON korean 131,0.3231932636546202, 1
CON arabic_ancient 6299,0.3271245274183694, 1
CON western_hlad Ind,0.32953973975190687, 1
CON korean 271,0.33146768378962266, 1
CON korean 051,0.3342479667781646, 1
CON korean 236,0.3349808015551856, 2
CON chinese 143,0.3394951669724118, 1
CON korean 212,0.3410942056063462, 1
CON boorong Krk,0.3422032535893269, 1
CON chinese 251,0.35455994473306385, 1
CON japanese_moon_stations 19,0.35494623470534536, 1
CON hawaiian_starlines LUP,0.36435030725697093, 1
CON chinese 156,0.37049176801340034, 1
CON chinese 269,0.3735643176073631, 1
CON arabic_arabian_peninsula 3399,0.37375078556148456, 3
CON arabic_al-sufi Sge,0.3826821187303575, 1
CON korean 099,0.38651547019195487, 1
CON chinese 081,0.38651547019195487, 1
CON korean 119,0.391445292071948, 2
CON chinese 224,0.3916815717931197, 1
CON western Cnc,0.3970078775434307, 2
CON western_hlad Cnc,0.3970078775434307, 1
CON romanian Rac,0.3970078775434307, 2
CON boorong Tot,0.4083382118561909, 1
CON western_hlad CMa,0.4092432126728305, 1
CON korean 105,0.4155384518271088, 1
CON western Aql,0.41729128220851, 2
CON chinese 149,0.42209935599172255, 1
CON anutan 001,0.4248386159639268, 1
CON western Cha,0.4306243366176279, 2
CON korean 214,0.43571568993995236, 1
CON chinese 120,0.44023576078420357, 1
CON arabic_ancient 5999,0.44136896134984926, 1
CON chinese 301,0.44139762508538594, 1
CON western Cae,0.4418630154647629, 2
CON arabic_ancient 2004,0.44288484398006966, 1
CON western And,0.4540930629780786, 3
CON chinese 262,0.4561054566529026, 1
CON arabic_ancient 2006,0.4597563406398981, 1
CON western_hlad Vir,0.46380573617555365, 1
CON bugis 010,0.47265639280807026, 1
CON anutan 003,0.47265639280807026, 1
CON indian N18,0.48013720009421057, 4
CON boorong Djt,0.48013720009421057, 1
CON western_hlad Sct,0.48149298929187534, 1
CON korean 199,0.5024884987554294, 1
CON korean 159,0.5175813785465415, 1
CON arabic_ancient 1501,0.5179436694075847, 1
CON korean 034,0.5198057322380838, 1
CON korean 179,0.5214741018237996, 1
CON chinese 216,0.5234565757885123, 1
CON chinese 302,0.5364068807005373, 1
CON arabic_ancient 1899,0.5492742908101187, 1
CON arabic_ancient 5099,0.5639917883585985, 1
CON chinese 032,0.5740662408518955, 1
CON chinese 182,0.5771234263857048, 1
CON western Mic,0.5786750742585292, 2
CON western_hlad Dor,0.5820777798886425, 1
CON chinese 113,0.5820777798886425, 1
CON arabic_ancient 1502,0.590051509467548, 1
CON korean 181,0.6070792278668851, 1
CON korean 149,0.6092790088395512, 2
CON western_rey Pyx,0.6150747659600935, 2
CON arabic_al-sufi Can,0.6152328054470408, 1
CON arabic_ancient 0499,0.6219433217559196, 1
CON korean 001,0.6270457234337221, 1
CON western Tau,0.6278905781641977, 2
CON arabic_arabian_peninsula 2810,0.6333675761940616, 3
CON korean 010,0.6333675761940616, 3
CON macedonian 014,0.634015953982642, 1
CON boorong Cwp,0.6388781116037676, 1
CON japanese_moon_stations 22,0.6442245590499178, 1
CON romanian Pmi,0.6446425173039452, 1
CON korean 109,0.6485225161998809, 4
CON western Ari,0.6485225161998809, 4
CON chinese 213,0.6584032994833424, 1
CON sami 002,0.6631667968355908, 1
CON korean 033,0.6653496604109455, 1
CON western Cyg,0.6666365078254519, 3
CON western_hlad Cyg,0.6666365078254519, 1
CON romanian Pma,0.6666365078254519, 1
CON chinese 199,0.6777495343060669, 1
CON korean 041,0.6871630294911095, 1
CON korean 195,0.6886498829734395, 1
CON chinese 141,0.6900964029436172, 1
CON boorong Tbg,0.6987757822084162, 1
CON arabic_ancient 4899,0.7067664331345926, 1
CON korean 082,0.7110583539456314, 1
CON korean 114,0.7159041830532895, 1
CON chinese 064,0.7206117672207522, 1
CON western_hlad LMi,0.7292385098541594, 1
CON western Pic,0.7298477967116828, 4
CON korean 211,0.7304286164276741, 1
CON arabic_al-sufi Gem,0.7305353377591479, 1
CON korean 056,0.7386468316306036, 1
CON korean 138,0.7409840099689036, 1
CON arabic_ancient 4204,0.7409840099689036, 1
CON korean 191,0.753172855828574, 1
CON arabic_ancient 5899,0.7534678479773591, 1
CON korean 060,0.7662683920157782, 1
CON bugis 008,0.7730857911072833, 1
CON hawaiian_starlines IWI,0.7734243804601024, 1
CON chinese 022,0.7820001474295797, 1
CON lokono 006,0.7825863627854948, 1
CON chinese 193,0.7851766411154717, 1
CON romanian Sec,0.7962917146980342, 1
CON ruelle Cyg,0.7965509936713864, 1
CON korean 011,0.8047222582225326, 1
CON chinese 165,0.805031719072594, 1
CON western_SnT Hor,0.8061586454297256, 1
CON korean 251,0.836461176482314, 1
CON western_hlad For,0.8421337699399944, 2
CON korean 247,0.8471101810064763, 1
CON arabic_al-sufi Cep,0.851566045935483, 1
CON korean 244,0.8538341553956683, 2
CON korean 098,0.8678392158682668, 1
CON korean 141,0.8691420245605825, 1
CON chinese 270,0.8698976927413549, 1
CON korean 078,0.874577938220837, 1
CON arabic_ancient 0999,0.8860132955605793, 1
CON western_rey Lyn,0.8874266951655181, 1
CON chinese 090,0.902253924884628, 1
CON korean 044,0.9096102306495766, 1
CON arabic_ancient 3003,0.9096102306495766, 3
CON arabic_ancient 5399,0.9119937535507736, 1
CON ruelle Ari,0.9210800041517793, 1
CON arabic_arabian_peninsula 3299,0.9236025901657494, 3
CON chinese 001,0.928289824715828, 1
CON mandar 004,0.9431188666666666, 1
CON korean 229,0.9453523188313753, 2
CON western Aps,0.9526772682811986, 2
CON arabic_arabian_peninsula 2803,0.9578283997304458, 3
CON western_hlad Crt,0.9658937809663337, 1
CON western_SnT CrA,0.9757261083076822, 1
CON western_hlad Lyn,0.9762871326274141, 1
CON western_rey And,0.9774131227095308, 1
CON western_SnT And,0.9774131227095308, 1
CON western Lyn,0.982576192046138, 3
CON arabic_ancient 5199,0.9845420503227147, 1
CON western Tuc,0.9881160380313792, 2
CON arabic_arabian_peninsula 2805,0.9885203051633966, 3
CON western CrA,0.9898315440066394, 2
CON arabic_ancient 3004,0.9898315440066394, 1
CON western_hlad CrA,0.9898315440066394, 1
CON western_rey CrA,0.9898315440066394, 1
CON egyptian 021,0.9898315440066394, 1
CON boorong Won,0.9898315440066394, 1
CON chinese 148,0.9960987849991696, 1
CON korean 246,1.0125833926683194, 1
CON chinese 033,1.0125833926683194, 1
CON korean 198,1.0165535279512543, 1
CON korean 161,1.0172448639255434, 2
CON arabic_ancient 4205,1.0172448639255434, 1
CON arabic_ancient 4207,1.0172448639255434, 1
#CON macedonian 016,1.0208060756303836, 10
CON blackfoot 004,1.0208060756303836, 2
CON arabic_ancient 1499,1.0208060756303836, 3
CON chinese 087,1.0208060756303836, 1
CON western_rey Crv,1.0305313691275693, 1
CON chinese 031,1.0305313691275693, 1
CON korean 252,1.03155485807951, 2
CON western_hlad Ser,1.03155485807951, 1
CON chinese 057,1.0337560731543909, 1
CON western Cen,1.037473218159989, 2
CON arabic_arabian_peninsula 2650,1.0426757485781928, 1
CON boorong War,1.0446869404372152, 1
CON western Gem,1.0726495981701394, 4
CON western_rey Gem,1.0726495981701394, 1
CON korean 262,1.081529981673468, 1
CON chinese 046,1.0846478646170783, 1
CON arabic_arabian_peninsula 2808,1.0896457163504643, 3
CON korean 202,1.0896457163504643, 2
CON korean 057,1.0938717066919916, 1
CON korean 097,1.097339461991953, 2
CON korean 158,1.1006584645377662, 2
CON arabic_ancient 1902,1.1012804545147272, 2
CON western_hlad Cam,1.103070556672567, 1
CON korean 237,1.1031080740050188, 1
CON chinese 254,1.1060319337861646, 1
CON korean 065,1.1106565163987914, 2
CON korean 050,1.1113491078411926, 1
CON romanian Csa,1.1210773008899761, 1
CON chinese 192,1.1211505159912125, 1
CON korean 186,1.129582465366202, 1
CON japanese_moon_stations 25,1.129582465366202, 1
CON korean 094,1.1336646803856207, 1
CON korean 008,1.138476141181334, 2
CON chinese 241,1.1388534366901468, 1
CON korean 116,1.1488961786222924, 1
CON chinese 062,1.1488961786222924, 1
CON korean 165,1.1560930117277568, 1
CON korean 184,1.1653935701293663, 1
CON western Aqr,1.1714726264441124, 2
CON korean 089,1.176548281282068, 1
CON western_SnT Car,1.1833083641226712, 1
CON chinese 083,1.1842091882659824, 1
CON western_hlad Cae,1.1873917079776573, 2
CON chinese 249,1.1984353166259156, 1
CON chinese 147,1.1988154720043556, 1
CON korean 145,1.2016276710094826, 1
CON chinese 253,1.2016276710094826, 1
CON korean 201,1.202518810769852, 2
CON arabic_arabian_peninsula 3199,1.2059967818757005, 3
CON korean 066,1.2102370160629177, 1
CON korean 081,1.212560630722284, 2
CON chinese 181,1.2127217841637212, 1
CON western_hlad Ara,1.2158010254095508, 1
CON arabic_ancient 1099,1.2194372445967256, 1
CON lokono 007,1.2271324427222225, 1
CON arabic_ancient 4199,1.239972773944707, 1
CON korean 120,1.2448839685086817, 1
CON korean 136,1.2525851477292091, 1
CON chinese 309,1.2566741462152977, 1
CON chinese 013,1.2575120562378663, 1
CON boorong Wpl,1.2590316006080258, 1
CON chinese 091,1.262905385365253, 1
CON korean 257,1.2639303461658735, 1
CON chinese 017,1.2644474543328639, 1
CON arabic_ancient 2899,1.264950592050892, 1
CON western_hlad Ant,1.2691480937037802, 2
CON korean 170,1.2724455959906602, 1
CON chinese 233,1.2732063546146009, 1
CON korean 048,1.2844932844440196, 1
CON western_hlad Pyx,1.2910395930963068, 1
CON boorong Cwr,1.2982980863071887, 1
CON japanese_moon_stations 09,1.3034989252315943, 1
CON korean 143,1.305606600190403, 1
CON indian N19,1.31207457250396, 1
CON arabic_arabian_peninsula 2999,1.31207457250396, 3
CON hawaiian_starlines MAN,1.31207457250396, 1
CON korean 038,1.31207457250396, 2
CON western Sco,1.31207457250396, 3
CON maori 004,1.31207457250396, 1
CON western_hlad Sco,1.31207457250396, 1
CON arabic_al-sufi Sco,1.31207457250396, 1
CON chinese 024,1.31207457250396, 1
CON chinese 272,1.320455204700501, 1
CON chinese 066,1.3273945878277658, 1
CON western Col,1.3341871462517152, 2
CON arabic_ancient 4699,1.3341871462517152, 1
CON western_hlad Col,1.3341871462517152, 2
CON boorong Ydk,1.3355822906796355, 1
CON chinese 119,1.339206371861739, 1
CON arabic_al-sufi SHr,1.342670954154563, 1
CON chinese 035,1.3443668316690933, 1
CON siberian DNe,1.3453878397933399, 1
CON western Vir,1.3482977821768916, 2
CON arabic_ancient 2699,1.3561572674689293, 1
CON western_hlad Aur,1.3604196847663037, 1
CON chinese 266,1.3604196847663037, 1
CON tukano 011,1.3606918083517985, 6
CON blackfoot 001,1.3606918083517985, 1
CON korean 185,1.3747051623558861, 1
CON sardinian 007,1.3747051623558861, 1
CON chinese 278,1.3747051623558861, 1
CON japanese_moon_stations 26,1.3748459898253582, 1
CON western_rey Equ,1.3776375129938467, 2
CON indian N05,1.377696584041258, 1
CON japanese_moon_stations 24,1.3790248062248651, 1
CON western_rey Vir,1.3831206409985315, 1
CON chinese 030,1.3844394247120384, 1
CON korean 007,1.3859821905360992, 2
CON korean 084,1.3878813830616417, 1
CON macedonian 011,1.3885513876589863, 1
CON tukano 003,1.389427977139631, 1
CON chinese 297,1.391089717833852, 1
CON arabic_al-sufi Lib,1.3981715111544577, 1
CON egyptian 003,1.3995318500498901, 1
CON siberian Kic,1.4045666542985642, 1
CON western_hlad Hor,1.4054869776380712, 1
CON chinese 051,1.4057218023761064, 1
CON western_rey Car,1.4097303606606366, 1
CON korean 108,1.411071669433316, 1
CON chinese 221,1.4123587899934584, 1
CON arabic_al-sufi And,1.4337504035555306, 1
CON romanian Jgb,1.451161532701484, 1
CON western_hlad Gem,1.4516603053690968, 1
CON chinese 255,1.453071537575041, 1
CON chinese 038,1.459353046041331, 1
CON inuit 010,1.4657303147393264, 1
CON chinese 127,1.4666105989792484, 1
CON korean 245,1.4684607066753712, 1
CON korean 272,1.4725068615559354, 1
CON korean 260,1.4763106128452397, 1
CON korean 053,1.478765544678938, 1
CON chinese 111,1.478765544678938, 1
CON korean 154,1.4860509930707053, 2
CON western Boo,1.491093285246145, 3
CON western_hlad Boo,1.491093285246145, 1
CON western_hlad Scl,1.4920684765162453, 1
CON western_SnT Scl,1.4920684765162453, 1
CON western_SnT Tel,1.4927131429858795, 1
CON romanian Tdz,1.4965184869152908, 1
CON korean 080,1.4967565439429338, 2
CON korean 215,1.4967927082054298, 1
CON korean 046,1.4975699810372247, 2
CON indian N09,1.5071974091205074, 1
CON korean 183,1.5071974091205074, 1
CON western Hya,1.5071974091205074, 2
CON western_hlad Hya,1.5071974091205074, 1
CON western_SnT Hya,1.5071974091205074, 1
CON western_hlad Lac,1.5097170218266895, 1
CON chinese 236,1.5142405982686702, 1
CON arabic_al-sufi Crv,1.5145830448920308, 1
CON korean 208,1.5149269697827223, 2
CON korean 122,1.5288027921756333, 2
CON western Per,1.5288027921756333, 3
CON western_hlad Per,1.5288027921756333, 1
CON western Com,1.5288356467794868, 5
CON western_rey Com,1.5288356467794868, 1
CON western_SnT Com,1.5288356467794868, 1
CON korean 018,1.5298378826496464, 2
CON korean 228,1.533901211392803, 1
CON chinese 097,1.537602630785643, 1
CON korean 238,1.5382063452310606, 1
CON western_hlad Eri,1.5391655155587323, 1
CON ruelle Eri,1.5391655155587323, 1
CON western_rey DraF,1.5406722136615278, 1
CON arabic_al-sufi Aur,1.5433979673403841, 1
CON korean 074,1.5459114020701783, 1
CON korean 152,1.5494977131867407, 2
CON western Gru,1.5498271638897807, 3
CON arabic_al-sufi Sgr,1.5513127792400145, 1
CON chinese 287,1.552200662617944, 1
CON western_hlad Mic,1.5523964465096154, 1
CON western_hlad Pav,1.5539357769182662, 1
CON romanian Ber,1.554051526387873, 1
CON tukano 004,1.5550106247107474, 1
CON western Hor,1.5620942363838752, 2
CON korean 249,1.5697207502312889, 1
CON western_hlad Her,1.5697207502312889, 1
CON chinese 118,1.5733158247529406, 1
CON korean 024,1.573642616525992, 1
CON korean 112,1.5794864721192414, 1
CON arabic_ancient 4799,1.5794864721192414, 1
CON chinese 210,1.5794864721192414, 1
CON romanian Hra,1.5802587086256508, 1
CON chinese 271,1.5809422134243893, 1
CON hawaiian_starlines KOM,1.5847351676633898, 1
CON korean 130,1.5847351676633898, 2
CON western Aur,1.5847351676633898, 4
CON korean 142,1.590858508783736, 1
CON chinese 067,1.5977702739071062, 1
CON korean 261,1.5985153611434844, 1
CON korean 144,1.5994412377008589, 1
CON romanian Prb,1.5997012918244278, 1
CON korean 151,1.6035884630854054, 2
CON arabic_ancient 1399,1.6048835081738517, 1
CON western_rey Hya,1.6070864022202176, 1
CON anutan 009,1.6171190915764502, 1
CON chinese 145,1.61839847928965, 1
CON western_SnT Sex,1.6201028971461084, 1
CON western_SnT Vir,1.6210971624757038, 1
CON korean 040,1.623777325150919, 2
CON chinese 195,1.624820467339135, 1
CON ruelle Vul,1.625714416109095, 1
CON western_hlad Vol,1.6271716226776733, 1
CON western Oph,1.628532957194971, 2
CON western_hlad Oph,1.628532957194971, 1
CON western_SnT Oph,1.628532957194971, 1
CON western Cet,1.6324246236367275, 2
CON korean 188,1.6393378692205713, 1
CON western_hlad Mon,1.645381743439349, 1
CON macedonian 003,1.6459245576513972, 1
CON tongan 007,1.6459245576513972, 1
CON chinese 036,1.6511642511710547, 1
CON korean 015,1.6518746032217977, 1
CON macedonian 013,1.6578525808175062, 1
CON arabic_ancient 1101,1.6668890951479036, 1
CON arabic_ancient 1199,1.6668890951479036, 1
CON korean 037,1.6670363467462, 1
CON arabic_ancient 2703,1.6671825741184625, 1
CON arabic_ancient 2799,1.6671825741184625, 1
CON romanian Gem,1.6695812016670033, 1
CON western_rey Oph,1.670700582039336, 1
CON ruelle Sge,1.673533830539607, 1
CON korean 075,1.674223331272536, 1
CON western_rey Ind,1.6750662558883294, 1
CON japanese_moon_stations 21,1.6758656446266202, 1
CON western Eri,1.6759262568463156, 2
CON western_SnT Eri,1.6759262568463156, 1
CON chinese 244,1.6761188100574334, 1
CON ruelle Cas,1.6763688849587215, 1
CON korean 076,1.6833149488324797, 1
CON ruelle Gem,1.6834686693639636, 1
CON aztec 003,1.6834686693639636, 1
CON ruelle UMa,1.687213761331735, 1
CON western Peg,1.6882932025966162, 2
CON arabic_ancient 2599,1.6882932025966162, 1
CON western_rey GSq,1.6882932025966162, 2
CON western_SnT Peg,1.6882932025966162, 1
CON western_hlad Cen,1.6924742744965449, 1
CON ruelle Cen,1.6924742744965449, 1
CON chinese 190,1.6938807709643096, 1
CON korean 240,1.6948575024833046, 1
CON lokono 003,1.6997068952634844, 1
