Constellation, Max Equal Spacing, Same Constellations Accross Cultures 
#CON ruelle Cru,0.0, 1
CON western Cir,0.0009558472449996414, 5
CON korean 233,0.001482610620604674, 1
CON korean 240,0.0015635128601770298, 1
CON western_rey Com,0.0018205413860447606, 1
CON macedonian 012,0.002383245225521413, 1
CON korean 132,0.002590989137633226, 1
CON boorong Bbg,0.0027505788260987485, 1
CON korean 078,0.002953361069344518, 1
CON korean 082,0.0032774559912319146, 1
CON chinese 072,0.0032774559912319146, 1
CON korean 060,0.0040641722623417365, 1
CON western_hlad Sge,0.0046636626582158835, 3
#CON arabic_arabian_peninsula 4202,0.005468056766686491, 15
CON romanian Sfm,0.005468056766686491, 1
CON western Tuc,0.0065324332263102525, 2
CON korean 076,0.0075249744908030824, 1
CON macedonian 017,0.007639341632212304, 1
CON korean 133,0.008783367537130715, 1
CON arabic_ancient 2002,0.009219207585821287, 1
CON chinese 180,0.009371809002020337, 1
CON bugis 012,0.009915871344379767, 1
CON chinese 224,0.010246574858033874, 1
CON chinese 101,0.010391532898529121, 1
CON western Com,0.010798948602122382, 5
CON korean 127,0.011325315234009259, 1
CON korean 101,0.013793782975850655, 1
CON western_hlad Ind,0.014267653615502807, 1
CON macedonian 018,0.01536913315903432, 3
CON korean 135,0.015890726969493674, 1
CON arabic_arabian_peninsula 2650,0.016941915599835655, 1
CON chinese 071,0.01901661246071301, 1
CON korean 181,0.02059916625348235, 1
CON chinese 055,0.02271720190387777, 1
CON chinese 306,0.02406919669046581, 1
CON korean 131,0.024089758420773544, 1
CON chinese 192,0.02421405014313288, 1
CON navajo 007,0.025818162032242575, 1
CON korean 019,0.027278937824367355, 1
CON indian N02,0.027624078769981852, 2
CON korean 081,0.028662723819014246, 2
CON western_hlad Cam,0.029431254680523766, 1
CON indian N18,0.030451600011878466, 4
CON indian N16,0.03198749401324941, 1
CON korean 015,0.03221897126426282, 1
CON western_SnT Tel,0.03259450259820629, 1
CON korean 152,0.032852275641106765, 2
CON chinese 117,0.03339527058854497, 1
CON arabic_ancient 4399,0.03365619753446114, 1
CON chinese 313,0.033922195635379515, 1
CON indian N17,0.03439246016061587, 4
CON korean 028,0.03439246016061587, 3
CON korean 007,0.03455712668552918, 2
CON chinese 070,0.034745101717827465, 1
CON korean 052,0.03486215756826444, 3
CON chinese 143,0.0349724484130533, 1
CON chinese 268,0.03509883584264917, 1
CON korean 203,0.03588616581941928, 1
CON maori 005,0.036429800574818316, 4
CON tukano 007,0.03669756590500811, 3
CON chinese 273,0.037225311843290976, 1
CON arabic_ancient 1899,0.037825828644266146, 1
CON chinese 309,0.03788509774186044, 1
CON indian N28,0.038149901549563714, 1
CON arabic_ancient 4203,0.03905948902496664, 1
CON arabic_arabian_peninsula 2805,0.040386741412275995, 3
CON western Cep,0.0408723305343896, 2
CON korean 134,0.041197083589248396, 1
CON ruelle Cep,0.04123307586529712, 1
CON korean 018,0.042369810882747605, 2
CON korean 257,0.04262237692964377, 1
CON arabic_arabian_peninsula 2803,0.04291823509198678, 3
CON chinese 267,0.043005101211085583, 1
CON western_hlad Cep,0.04438765195472666, 1
CON korean 065,0.04534587915058985, 2
CON egyptian 008,0.04670647165626057, 1
CON chinese 237,0.048266660407360884, 1
CON chinese 249,0.04933039924622218, 1
CON chinese 030,0.04936163589405279, 1
CON indian N05,0.049724175005895155, 1
CON korean 231,0.04977078926736389, 1
CON chinese 193,0.050158805941065976, 1
CON boorong Wpl,0.050414475100426015, 1
CON chinese 214,0.051091352557604164, 1
CON chinese 233,0.05118688900627899, 1
CON korean 147,0.051324326498300044, 1
CON romanian Pma,0.05185208217176229, 1
CON sardinian 009,0.05185208217176229, 1
CON korean 128,0.05210598828216162, 1
CON chinese 007,0.05456467314946989, 1
CON western Mic,0.055381241650320934, 2
CON western_hlad Lyn,0.056759939466724196, 1
CON arabic_arabian_peninsula 2810,0.057316534809081554, 3
CON korean 010,0.057316534809081554, 3
CON western Tra,0.057484027465082466, 5
CON bugis 001,0.05757763614921951, 1
CON egyptian 027,0.057696043503475514, 1
CON japanese_moon_stations 24,0.057816436375800584, 1
CON korean 024,0.05821185252824568, 1
CON arabic_arabian_peninsula 3399,0.058717880250959864, 3
CON korean 211,0.05881286821285997, 1
CON chinese 035,0.05946972365897896, 1
CON chinese 154,0.061440084936098704, 1
CON western_rey GSq,0.06186491607048239, 2
CON western Ret,0.06199867669129833, 5
CON chinese 219,0.06205719188913156, 1
CON romanian Tau,0.06252874544190679, 2
CON arabic_ancient 5999,0.06306210214991659, 1
CON korean 056,0.06322522874775632, 1
CON romanian Pmi,0.06364333974090608, 1
CON korean 218,0.06365392872847186, 1
CON korean 044,0.0639934568879082, 1
CON chinese 083,0.06408630368409712, 1
CON korean 202,0.06442282670858346, 2
CON western_SnT Cam,0.06593490650448747, 1
CON chinese 190,0.066086724372797, 1
CON western_hlad Del,0.06622047007231013, 1
CON korean 063,0.06628286806984235, 2
CON western Del,0.06628286806984235, 4
CON arabic_ancient 2399,0.06628286806984235, 1
#CON indian N22,0.06631897213727783, 7
CON western_hlad Aql,0.06631897213727783, 1
CON western_hlad Lib,0.06649952089099087, 1
CON inuit 005,0.06781537937901222, 1
CON korean 149,0.06781540896565841, 2
CON japanese_moon_stations 21,0.06781540896565841, 1
CON korean 001,0.06809931497878274, 1
CON korean 176,0.0684499296304773, 2
CON arabic_al-sufi Can,0.0684499296304773, 1
CON chinese 036,0.06871842567751235, 1
CON chinese 225,0.07018776513036223, 1
#CON arabic_arabian_peninsula 300,0.07036313331281568, 10
CON chinese 261,0.07049078271659942, 1
CON western Cae,0.07049414975394974, 2
CON western_hlad Cae,0.07049414975394974, 2
CON hawaiian_starlines KHK,0.07085183104532788, 1
CON ruelle Cas,0.07124476224523396, 1
CON romanian Tdz,0.07124476224523396, 1
CON arabic_ancient 2006,0.07133213515997727, 1
CON korean 142,0.07137124579974441, 1
CON ruelle Mus,0.0723828549965082, 1
CON arabic_arabian_peninsula 2603,0.07354323558922637, 6
CON chinese 199,0.07679133900437596, 1
CON chinese 181,0.07680415263847834, 1
CON chinese 297,0.07690623972753902, 1
CON arabic_al-sufi Crv,0.07763048075897871, 1
CON chinese 066,0.07775299580497558, 1
CON boorong Tot,0.0782842493119596, 1
CON korean 124,0.0792623021793169, 1
CON chinese 173,0.07951516032095446, 1
CON korean 033,0.08013109214433423, 1
CON hawaiian_starlines LUP,0.08026589285947583, 1
CON western_hlad Sex,0.0818023839973358, 1
CON chinese 195,0.08238338971784487, 1
CON western_rey LMi,0.08288191421003727, 2
CON arabic_arabian_peninsula 2808,0.08348700138345344, 3
CON western_hlad Vir,0.08348700138345344, 1
CON chinese 265,0.08349590457460737, 1
CON korean 184,0.08455107490799568, 1
CON bugis 010,0.08496339045420065, 1
CON belarusian 012,0.08502749145242033, 1
CON western_hlad Hyi,0.0851192515787994, 2
CON korean 241,0.08517854173129585, 1
CON western Lac,0.08524316027723594, 2
CON tupi 006,0.0856483311563514, 1
CON western_hlad Sct,0.08589170499944232, 1
CON korean 237,0.08731860010876791, 1
CON western_rey Sct,0.08761171744644997, 2
