Constellation, Max Magnitude, Same Constellations Accross Cultures 
CON korean 168,-1.44, 2
CON korean 174,-0.62, 2
CON indian N15,-0.05, 4
CON sami 006,0.03, 2
CON belarusian 006,0.08, 1
CON macedonian 007,0.4, 1
CON sami 009,0.4, 1
CON bugis 010,0.4, 1
CON indian N06,0.45, 1
CON hawaiian_starlines NAK,0.61, 5
CON chinese 144,0.61, 1
CON sami 007,0.76, 1
CON indian N04,0.87, 2
CON indian N14,0.98, 1
CON korean 092,1.17, 2
CON mongolian 004,1.25, 1
CON indian N10,1.36, 1
#CON indian N07,1.58, 7
CON sami 010,1.58, 1
CON inuit 002,1.64, 1
CON arabic_arabian_peninsula 4501,1.83, 1
CON inuit 004,1.9, 1
CON sami 004,1.97, 2
CON korean 169,1.98, 1
CON egyptian 024,1.98, 1
CON korean 107,2.04, 2
CON arabic_ancient 5799,2.04, 2
CON arabic_arabian_peninsula 4213,2.07, 1
CON arabic_ancient 5699,2.07, 2
CON korean 253,2.08, 2
CON indian N12,2.14, 1
CON bugis 011,2.14, 1
CON chinese 048,2.15, 1
CON egyptian 009,2.21, 1
CON chinese 227,2.23, 2
CON macedonian 004,2.25, 1
#CON arabic_arabian_peninsula 4202,2.25, 15
CON hawaiian_starlines KHK,2.25, 1
CON korean 149,2.25, 2
CON japanese_moon_stations 21,2.25, 1
CON romanian Rar,2.25, 1
CON romanian Sfm,2.25, 1
CON bugis 008,2.25, 1
CON belarusian 020,2.28, 1
CON inuit 005,2.28, 1
CON chinese 151,2.29, 1
CON korean 021,2.3, 1
CON korean 012,2.33, 1
CON western_rey UMaP,2.34, 2
CON western_rey CruF,2.47, 2
CON egyptian 025,2.47, 1
CON indian N25,2.49, 6
CON indian N21,2.6, 1
CON arabic_arabian_peninsula 2602,2.64, 3
CON macedonian 019,2.66, 1
CON egyptian 023,2.68, 1
CON inuit 007,2.68, 1
CON hawaiian_starlines KOM,2.69, 1
CON korean 130,2.69, 2
CON chinese 266,2.69, 1
CON arabic_arabian_peninsula 2906,2.7, 4
CON indian N20,2.72, 1
CON inuit 001,2.72, 1
CON boorong Wrn,2.72, 1
CON arabic_arabian_peninsula 2901,2.75, 3
CON korean 254,2.78, 2
CON tukano 010,2.79, 2
CON hawaiian_starlines HAN,2.79, 10
#CON ruelle Cru,2.79, 1
CON mandar 001,2.79, 1
CON anutan 011,2.79, 1
CON boorong Kts,2.82, 1
CON arabic_arabian_peninsula 2504,2.83, 6
CON western_rey GSq,2.83, 2
CON sami 008,2.85, 1
CON western Tra,2.87, 5
CON indian N17,2.89, 4
#CON arabic_arabian_peninsula 2801,2.89, 11
CON korean 196,2.89, 1
CON indian N18,2.9, 4
CON macedonian 006,2.9, 1
CON korean 137,2.97, 2
CON navajo 007,2.99, 1
CON arabic_arabian_peninsula 0100,3.0, 4
CON korean 227,3.0, 2
CON ruelle Gru,3.0, 1
CON hawaiian_starlines MEE,3.02, 4
CON arabic_ancient 4599,3.02, 1
CON western_hlad Aur,3.03, 1
CON korean 013,3.04, 2
CON chinese 146,3.04, 1
CON macedonian 018,3.05, 3
CON hawaiian_starlines NAV,3.05, 1
CON korean 040,3.1, 2
CON arabic_ancient 3001,3.1, 3
CON arabic_ancient 5599,3.11, 2
CON chinese 044,3.11, 1
CON korean 173,3.12, 1
CON arabic_ancient 0699,3.17, 2
CON korean 023,3.18, 1
CON korean 035,3.19, 2
CON bugis 002,3.19, 1
CON arabic_ancient 1001,3.23, 1
CON anutan 003,3.24, 1
CON chinese 162,3.25, 1
CON western_hlad Hyi,3.26, 2
CON romanian Jgb,3.27, 1
CON korean 153,3.29, 2
CON chinese 280,3.31, 1
CON tukano 011,3.32, 6
#CON macedonian 001,3.32, 11
CON arabic_arabian_peninsula 3099,3.32, 3
CON arabic_ancient 3002,3.32, 2
CON sami 002,3.32, 1
CON bugis 005,3.32, 1
CON bugis 006,3.32, 1
CON indian N11,3.33, 4
CON western_hlad Pup,3.34, 1
#CON arabic_arabian_peninsula 300,3.35, 10
CON arabic_arabian_peninsula 4206,3.35, 3
CON arabic_ancient 2001,3.35, 1
CON sami 001,3.35, 1
CON ruelle Lup,3.37, 1
CON japanese_moon_stations 01,3.38, 2
CON western_hlad Ori,3.39, 1
CON sardinian 004,3.39, 2
CON chinese 148,3.39, 1
CON ruelle Cen,3.41, 1
CON boorong Tch,3.41, 1
CON arabic_arabian_peninsula 2650,3.42, 1
CON korean 104,3.42, 1
CON arabic_ancient 2601,3.42, 1
CON arabic_ancient 0420,3.45, 1
CON western_hlad Car,3.46, 1
CON inuit 010,3.46, 1
CON arabic_arabian_peninsula 2805,3.48, 3
CON korean 042,3.49, 1
CON korean 225,3.49, 1
CON romanian Cma,3.49, 1
CON korean 171,3.5, 1
CON western Cep,3.5, 2
CON arabic_arabian_peninsula 2804,3.52, 3
CON korean 081,3.52, 2
CON japanese_moon_stations 12,3.52, 1
CON korean 163,3.53, 1
CON korean 017,3.54, 2
CON korean 039,3.56, 1
CON arabic_ancient 0430,3.57, 1
CON western_rey UMap2,3.57, 1
CON chinese 107,3.57, 1
CON boorong Col,3.58, 1
CON korean 270,3.59, 1
CON arabic_ancient 5099,3.61, 1
CON anutan 005,3.61, 1
CON indian N19,3.62, 1
CON arabic_arabian_peninsula 2999,3.62, 3
CON korean 038,3.62, 2
CON egyptian 013,3.62, 1
CON korean 020,3.66, 2
CON ruelle Ind,3.67, 1
CON korean 101,3.69, 1
CON korean 132,3.69, 1
CON korean 226,3.69, 2
CON western Aur,3.69, 4
CON arabic_ancient 3599,3.69, 2
CON romanian C3i,3.69, 1
CON chinese 077,3.69, 1
#CON indian N22,3.71, 7
CON western_hlad Aql,3.71, 1
CON mandar 005,3.71, 1
CON western_rey Aur,3.72, 1
CON western_SnT Aur,3.72, 1
CON korean 256,3.75, 2
CON western_rey Opha1,3.75, 1
CON korean 154,3.76, 2
CON arabic_ancient 4499,3.76, 1
CON ruelle Lep,3.76, 1
CON ruelle Dor,3.76, 1
CON macedonian 003,3.77, 1
CON macedonian 017,3.77, 1
CON korean 181,3.77, 1
CON western Ara,3.77, 2
CON maori 005,3.77, 4
CON maori 006,3.77, 1
CON western_hlad Tau,3.77, 1
CON tupi 007,3.77, 1
CON chinese 244,3.77, 1
CON arabic_ancient 0501,3.78, 1
CON ruelle UMa,3.78, 1
CON korean 197,3.79, 2
CON arabic_ancient 0410,3.79, 2
CON western_rey Uma,3.79, 1
CON western_SnT UMa,3.79, 1
CON arabic_ancient 1899,3.8, 1
CON western_hlad Cyg,3.8, 1
CON western_rey For,3.8, 1
CON tukano 007,3.84, 3
CON korean 046,3.84, 2
CON western Mus,3.84, 2
CON arabic_ancient 0899,3.84, 1
CON arabic_ancient 2002,3.84, 1
CON ruelle Sgr,3.84, 1
CON ruelle Mus,3.84, 1
CON ruelle Ret,3.84, 1
CON mandar 002,3.84, 1
CON chinese 183,3.84, 1
CON korean 148,3.85, 1
CON western Vel,3.85, 2
CON western_hlad Vel,3.85, 2
CON ruelle Col,3.85, 1
CON western_rey DraT,3.85, 1
CON western_rey Vel,3.85, 1
CON western_rey Hor,3.85, 1
CON indian N24,3.86, 1
CON korean 155,3.86, 1
CON arabic_ancient 4699,3.86, 1
CON chinese 298,3.86, 1
CON korean 028,3.87, 3
CON ruelle Sco,3.87, 1
CON mandar 003,3.87, 1
CON bugis 003,3.87, 1
CON indian N01,3.88, 1
CON hawaiian_starlines KAO,3.88, 1
CON korean 109,3.88, 4
CON western Ari,3.88, 4
CON western Leo,3.88, 2
CON western_hlad Leo,3.88, 2
CON sardinian 007,3.88, 1
CON chinese 168,3.88, 1
CON arabic_arabian_peninsula 2808,3.89, 3
CON korean 269,3.89, 1
CON sardinian 009,3.89, 1
CON western_hlad Lib,3.91, 1
CON western_hlad Cen,3.91, 1
CON western_rey Lib,3.91, 2
CON romanian Cat,3.91, 1
CON arabic_al-sufi 05Boo04,3.91, 1
CON korean 071,3.92, 3
CON western_SnT Sgr,3.92, 1
CON ruelle Phe,3.93, 1
CON western_hlad Phe,3.94, 1
CON western_SnT Phe,3.94, 1
CON western_rey Cas,3.95, 1
CON chinese 282,3.95, 1
CON western_SnT Cyg,3.96, 1
CON arabic_ancient 3999,3.97, 2
CON egyptian 027,3.97, 1
CON western_SnT Lup,3.97, 1
CON western_hlad Per,3.98, 1
CON blackfoot 001,3.99, 1
CON korean 112,3.99, 1
CON korean 220,3.99, 2
CON arabic_ancient 4799,3.99, 1
CON korean 025,4.0, 2
CON western_hlad Sco,4.0, 1
CON western_SnT Sco,4.0, 1
CON romanian Gem,4.01, 1
#CON indian N13,4.02, 2
CON korean 268,4.02, 2
CON western Aql,4.02, 2
CON western Pyx,4.02, 2
CON ruelle Crv,4.02, 2
CON western_rey Pyx,4.02, 2
CON western Tri,4.03, 6
CON bugis 001,4.03, 1
CON bugis 012,4.03, 1
CON mandar 004,4.04, 1
CON korean 201,4.05, 2
CON western Boo,4.05, 3
CON arabic_ancient 5499,4.06, 1
CON western_hlad Ara,4.06, 1
CON western_hlad Mus,4.06, 1
CON ruelle Ara,4.06, 1
CON western_rey Ara,4.06, 1
CON western_rey Mus,4.06, 1
CON chinese 089,4.06, 1
CON chinese 281,4.06, 1
CON western_SnT Ara,4.06, 1
CON western_SnT Mus,4.06, 1
CON ruelle Cep,4.07, 1
CON chinese 091,4.08, 1
CON western_SnT Hyi,4.08, 1
CON western Tel,4.1, 3
CON korean 187,4.11, 1
CON western_hlad CMa,4.11, 1
CON western_rey TrA,4.11, 2
CON egyptian 008,4.11, 1
CON western Hyi,4.12, 2
CON western Lib,4.13, 2
CON arabic_ancient 4207,4.13, 1
CON ruelle Gem,4.13, 1
CON ruelle Peg,4.14, 1
CON romanian Ccp,4.14, 1
CON anutan 006,4.14, 1
CON korean 158,4.16, 2
CON korean 100,4.17, 1
CON korean 093,4.18, 1
CON chinese 279,4.18, 1
CON korean 088,4.2, 3
CON ruelle Her,4.2, 1
CON chinese 218,4.2, 1
CON ruelle Pav,4.21, 1
CON western Per,4.22, 3
CON ruelle Lyr,4.22, 1
CON ruelle Sct,4.22, 1
CON western_rey DraF,4.22, 1
CON western_rey Ophf2,4.22, 1
CON romanian Bar,4.22, 1
CON chinese 108,4.22, 1
CON chinese 310,4.22, 1
CON western Aps,4.23, 2
CON western_SnT Cep,4.23, 1
CON western Cha,4.24, 2
CON western CVn,4.24, 5
CON korean 115,4.25, 2
CON western_rey Cep,4.25, 1
CON korean 102,4.26, 2
CON ruelle Cer,4.26, 1
CON korean 126,4.27, 1
CON chinese 251,4.27, 1
CON korean 079,4.28, 1
CON western Cap,4.28, 3
CON arabic_ancient 2702,4.28, 1
CON western_rey Ant,4.28, 1
CON chinese 126,4.28, 1
CON western_SnT Peg,4.28, 1
CON western_SnT Tau,4.29, 1
CON macedonian 002,4.3, 1
CON korean 192,4.3, 3
CON korean 267,4.3, 2
CON western Tau,4.3, 2
