Constellation, Min Colinearity, Same Constellations Accross Cultures 
CON boorong Pur,3.1407329641627824, 1
CON tukano 003,3.1403006855435356, 1
CON korean 091,3.1403006855435356, 1
CON western_hlad Cap,3.1401024451797337, 1
CON chinese 128,3.1397690373358533, 1
CON tukano 009,3.1395731138236536, 1
CON western Tau,3.139439795784674, 2
CON western_hlad Tau,3.139439795784674, 1
CON ruelle Tau,3.139439795784674, 1
CON western_rey Tau,3.139439795784674, 1
CON western_SnT Tau,3.139439795784674, 1
CON western_rey Leo,3.1393884990813445, 1
CON arabic_al-sufi CMa,3.139087908629646, 1
CON hawaiian_starlines MAN,3.1390494355942153, 1
CON western Sco,3.1390494355942153, 3
CON maori 004,3.1390494355942153, 1
CON western_rey Sco,3.1390494355942153, 1
CON arabic_al-sufi Sco,3.1390494355942153, 1
CON chinese 024,3.1390494355942153, 1
CON lokono 007,3.138676263148426, 1
CON egyptian 014,3.138250029551313, 1
CON arabic_ancient 1999,3.137292335190562, 2
CON ruelle Aur,3.1367147446701322, 1
CON western_rey Aur,3.1367147446701322, 1
CON western_SnT Aur,3.1367147446701322, 1
CON chinese 070,3.136607081895925, 1
CON arabic_ancient 2699,3.1361487698674004, 1
CON korean 090,3.136146217870197, 1
CON chinese 135,3.136146217870197, 1
CON chinese 125,3.1361089696226987, 1
CON western Psc,3.1360604416170768, 1
CON chinese_contemporary Psc,3.1360604416170768, 1
CON arabic_al-sufi Psc,3.1360604416170768, 1
CON arabic_arabian_peninsula 2550,3.1357080358575367, 3
CON arabic_ancient 2506,3.1357080358575367, 1
CON arabic_ancient 3003,3.135171332605486, 3
CON western_hlad Sgr,3.135171332605486, 1
CON romanian Arc,3.135171332605486, 1
CON arabic_al-sufi Sgr,3.135171332605486, 1
CON korean 161,3.1351289747325266, 2
CON arabic_ancient 4205,3.1351289747325266, 1
CON arabic_ancient 4299,3.1351289747325266, 2
CON japanese_moon_stations 22,3.1351289747325266, 1
CON korean 150,3.135071141832957, 1
CON aztec 001,3.135071141832957, 1
CON arabic_al-sufi Ori,3.135071141832957, 1
CON tupi 001,3.1349095031021346, 1
CON anutan 009,3.1344394187637046, 1
CON navajo 003,3.1342793326113294, 1
CON western Peg,3.132051985638809, 2
CON western_hlad Peg,3.132051985638809, 1
CON korean 138,3.1319333083448235, 1
CON arabic_ancient 4204,3.1319333083448235, 1
CON western_rey Ori,3.1319333083448235, 1
CON mandar 005,3.1319333083448235, 1
CON tupi 002,3.1319333083448235, 1
CON navajo 008,3.1319333083448235, 1
CON chinese 046,3.1319333083448235, 1
CON egyptian 005,3.1319333083448235, 1
CON western_SnT Ori,3.1319333083448235, 1
CON western Sge,3.1317952666465683, 2
CON tukano 001,3.131755438538278, 1
CON arabic_ancient 2099,3.13174395477496, 1
CON macedonian 002,3.1315324280217456, 1
CON korean 124,3.1315324280217456, 1
CON sardinian 002,3.1315324280217456, 1
CON belarusian 003,3.1315324280217456, 1
CON western UMa,3.131254143442225, 3
CON arabic_al-sufi UMa,3.131254143442225, 1
CON korean 246,3.1311905082510716, 1
CON western Dra,3.1311905082510716, 4
CON western_hlad Dra,3.1311905082510716, 1
CON ruelle Dra,3.1311905082510716, 1
CON western_rey Dra,3.1311905082510716, 2
CON chinese 033,3.1311905082510716, 1
CON egyptian 002,3.1311905082510716, 1
CON korean 043,3.1309910740044575, 1
CON chinese 132,3.1309752223743175, 1
CON arabic_ancient 0499,3.1307447871274032, 1
CON ruelle Her,3.130382272546217, 1
CON western Cet,3.129869694192052, 2
CON ruelle Cet,3.129869694192052, 1
CON western Hya,3.1281570702013286, 2
CON korean 188,3.1281544968720203, 1
CON western_hlad Hya,3.1281544968720203, 1
CON japanese_moon_stations 26,3.1281544968720203, 1
CON arabic_al-sufi Hya,3.1281544968720203, 1
CON western_SnT Hya,3.1281544968720203, 1
CON arabic_ancient 5499,3.128006916741028, 1
CON egyptian 010,3.127781984759183, 1
CON korean 214,3.1275682011746557, 1
CON western Per,3.1274480025217537, 3
CON ruelle Per,3.1274480025217537, 1
CON boorong Cwp,3.1268209564827396, 1
CON western Vel,3.1263981795465408, 2
CON western_hlad Vel,3.1263981795465408, 2
CON western_rey Vel,3.1263981795465408, 1
CON boorong Unu,3.1262254323679146, 1
CON western_hlad CMa,3.1250331352440197, 1
CON navajo 006,3.124517233625309, 1
CON western Dor,3.1244856726733583, 2
CON western_hlad Dor,3.1244856726733583, 1
CON western_rey Dor,3.1244856726733583, 2
CON chinese 113,3.1244856726733583, 1
CON korean 249,3.124456830111903, 1
CON mandar 002,3.124451644820451, 1
CON lokono 012,3.124157901266693, 1
CON arabic_al-sufi Peg,3.124137137688425, 1
CON western_SnT Peg,3.124137137688425, 1
CON chinese 073,3.124080203424703, 1
CON western_hlad Ser,3.1239020404413687, 1
CON romanian Sar,3.1239020404413687, 1
CON arabic_al-sufi Per,3.1236890382528815, 1
CON arabic_al-sufi Cap,3.1233422297430766, 1
CON arabic_ancient 5099,3.123251339696346, 1
CON western_rey Oph,3.122456158680583, 1
CON western_SnT Oph,3.122456158680583, 1
CON arabic_al-sufi Dra,3.1219599253314745, 1
CON western Car,3.1216826243807487, 2
CON tupi 004,3.1216826243807487, 1
CON korean 145,3.1214464745714565, 1
CON western Eri,3.1214464745714565, 2
CON western_hlad Eri,3.1214464745714565, 1
CON ruelle Eri,3.1214464745714565, 1
CON arabic_al-sufi Eri,3.1214464745714565, 1
CON chinese 253,3.1214464745714565, 1
CON ruelle Cyg,3.120772151224755, 1
CON korean 103,3.120130019963884, 1
CON western_rey Ind,3.1200581069205096, 1
CON western_SnT Ind,3.1200581069205096, 1
CON arabic_ancient 1902,3.119996396412592, 2
CON arabic_arabian_peninsula 2999,3.1191289130510484, 3
CON korean 038,3.1191289130510484, 2
CON ruelle Sco,3.1191289130510484, 1
CON mandar 003,3.1191289130510484, 1
CON bugis 003,3.1191289130510484, 1
CON western_SnT Sco,3.1191289130510484, 1
CON arabic_al-sufi Oph,3.1188927656318444, 1
CON western_rey Aqr,3.118329346807393, 1
CON indian N19,3.117419827835826, 1
CON western_hlad Sco,3.117419827835826, 1
CON arabic_al-sufi Vir,3.1171667198591213, 1
CON ruelle Ori,3.1160960577227446, 1
CON arabic_al-sufi Arg,3.115851769640067, 1
CON navajo 007,3.1158126398180785, 1
CON boorong Krk,3.1158126398180785, 1
CON blackfoot 003,3.1157709002044887, 1
CON lokono 011,3.1155441276138527, 1
CON egyptian 016,3.115345510333191, 1
CON western_rey Per,3.1149356621132362, 1
CON chinese 055,3.1140968790366097, 1
CON western_hlad Vir,3.113970652689466, 1
CON arabic_ancient 4203,3.113856323586407, 1
CON chinese 069,3.113856323586407, 1
CON tukano 005,3.1129703080584235, 1
CON ruelle Oph,3.1119992226120443, 1
CON chinese 075,3.111456130590582, 1
CON ruelle Lib,3.1113283377789345, 1
CON ruelle UMa,3.1110616002277904, 1
CON chinese 054,3.1109778408168647, 1
CON ruelle Hya,3.110595603454659, 1
CON egyptian 007,3.110123961811572, 1
CON arabic_ancient 6299,3.109667768116616, 1
CON western_hlad Psc,3.109667768116616, 1
CON korean 121,3.109661089244845, 1
CON arabic_ancient 1399,3.1089150605612073, 1
CON arabic_al-sufi Ari,3.1086598707624757, 1
CON maori 006,3.108095720871221, 1
CON ruelle Boo,3.1074407037428227, 1
CON egyptian 017,3.1074407037428227, 1
CON western And,3.1073303495509035, 3
CON romanian Jgb,3.1073303495509035, 1
CON navajo 004,3.1073303495509035, 1
CON western_SnT And,3.1073303495509035, 1
CON egyptian 006,3.10725125310409, 1
CON korean 164,3.1063274230893927, 1
CON western_rey Mon,3.1063274230893927, 1
CON western_SnT Mon,3.1063274230893927, 1
CON arabic_al-sufi Aqr,3.1062656479957913, 1
CON ruelle Gem,3.105392385091649, 1
CON aztec 003,3.105392385091649, 1
CON book-of-the-stars-almagest SFA,3.105322569056495, 1
CON bugis 006,3.105190904591669, 1
CON korean 085,3.1051763983433216, 1
CON chinese 206,3.1051763983433216, 1
CON chinese 215,3.1046617488013455, 1
CON western_hlad Col,3.103564606447055, 2
CON western_rey Col,3.103564606447055, 1
CON chinese 254,3.103150699525686, 1
CON ruelle CarPupVel,3.102889859693981, 1
CON chinese 101,3.102859382270327, 1
CON western_hlad UMa,3.10217999707296, 1
CON western_rey Uma,3.10217999707296, 1
CON navajo 001,3.10217999707296, 1
CON western_SnT UMa,3.10217999707296, 1
CON chinese 184,3.102179978200315, 1
CON korean 028,3.101624026923992, 3
CON romanian Sco,3.101624026923992, 1
CON boorong Djt,3.101624026923992, 1
CON western Sgr,3.101225185332524, 2
CON korean 027,3.100918605592464, 1
CON arabic_ancient 6099,3.1007304049036706, 1
CON korean 022,3.1006623426992075, 1
CON western_SnT Leo,3.1004067200986483, 1
CON arabic_al-sufi Her,3.099548179948508, 1
CON chinese 165,3.099548179948508, 1
CON western_SnT Her,3.099548179948508, 1
CON chinese 043,3.098810502816074, 1
CON arabic_al-sufi CrA,3.0986463595974514, 1
CON western_rey TrA,3.098574664524513, 2
CON ruelle Aqr,3.098426058348764, 1
CON arabic_ancient 3004,3.0982552443257854, 1
CON chinese 236,3.0982031909761942, 1
CON egyptian 003,3.0981141067620146, 1
CON western_hlad Oph,3.0980779501496505, 1
CON tupi 003,3.097054750394037, 1
CON chinese 036,3.096872387270611, 1
CON western Pav,3.096704215577721, 3
CON western_hlad Pav,3.096704215577721, 1
CON ruelle Pav,3.096704215577721, 1
CON western_SnT Pav,3.096704215577721, 1
CON western_rey Psc,3.0963936070803952, 1
CON western_SnT Psc,3.0963936070803952, 1
CON western_rey Cen,3.09597393953365, 1
CON korean 114,3.095903669983819, 1
CON western_hlad Per,3.095903669983819, 1
CON romanian Bar,3.095903669983819, 1
CON chinese 213,3.095903669983819, 1
CON western_SnT Per,3.095903669983819, 1
CON macedonian 005,3.0948078488397317, 1
CON western Boo,3.094707683322663, 3
