Constellation, Simulated Prolificness, Same Constellations Accross Cultures 
CON chinese 148,3.7914305016977647, 1
CON korean 116,2.709174975013683, 1
CON chinese 269,1.4558084504023805, 1
CON korean 168,1.44, 2
CON ruelle Cas,1.147568875289223, 1
CON japanese_moon_stations 22,0.6785884436487359, 1
CON korean 174,0.62, 2
CON indian N15,0.05, 4
CON sami 006,-0.03, 2
CON belarusian 006,-0.08, 1
CON anutan 001,-0.09337997972074419, 1
CON hawaiian_starlines KHK,-0.15833718291121546, 1
CON chinese 213,-0.16246332717696355, 1
CON macedonian 007,-0.4, 1
CON sami 009,-0.4, 1
CON bugis 010,-0.4, 1
CON indian N06,-0.45, 1
CON chinese 307,-0.5501196275598481, 1
CON hawaiian_starlines NAK,-0.61, 5
CON chinese 144,-0.61, 1
CON korean 149,-0.692113562774457, 2
CON romanian Rar,-0.692113562774457, 1
CON bugis 008,-0.692113562774457, 1
CON chinese 013,-0.7593035795595258, 1
CON sami 007,-0.76, 1
CON indian N04,-0.87, 2
CON indian N14,-0.98, 1
CON romanian Sec,-1.0375174635111293, 1
CON chinese 156,-1.071580873061487, 1
CON korean 130,-1.1049103113296614, 2
CON chinese 266,-1.1049103113296614, 1
CON korean 092,-1.17, 2
CON korean 236,-1.2174977082889766, 2
CON mongolian 004,-1.25, 1
CON western_hlad Ori,-1.2983371829112156, 1
CON japanese_moon_stations 21,-1.3124296550818233, 1
CON korean 252,-1.3271885565365005, 2
CON korean 228,-1.356419651133332, 1
CON indian N10,-1.36, 1
CON arabic_ancient 5999,-1.365265170223998, 1
CON western_hlad Aur,-1.4449103113296613, 1
CON korean 229,-1.449589939382927, 2
CON arabic_ancient 6299,-1.4524620158392225, 1
#CON indian N07,-1.58, 7
CON sami 010,-1.58, 1
CON korean 037,-1.5951735103479088, 1
#CON macedonian 001,-1.5954962590587283, 11
CON sami 002,-1.5954962590587283, 1
CON inuit 002,-1.64, 1
CON korean 215,-1.6603444653022499, 1
CON anutan 011,-1.67713130937815, 1
CON ruelle Lep,-1.7293228278918353, 1
CON chinese 083,-1.7676295482274051, 1
CON arabic_arabian_peninsula 4501,-1.83, 1
CON korean 237,-1.8376295482274045, 1
CON inuit 004,-1.9, 1
CON sami 004,-1.97, 2
CON korean 169,-1.98, 1
CON egyptian 024,-1.98, 1
#CON western UMi,-2.017629548227405, 9
CON aztec 004,-2.017629548227405, 1
CON arabic_al-sufi UMi,-2.017629548227405, 1
CON korean 107,-2.04, 2
CON arabic_ancient 5799,-2.04, 2
CON chinese 062,-2.0627520042563443, 1
CON arabic_arabian_peninsula 4213,-2.07, 1
CON arabic_ancient 5699,-2.07, 2
CON korean 253,-2.08, 2
CON korean 246,-2.1047839949376397, 1
CON tukano 011,-2.1193491719213324, 6
CON bugis 005,-2.1193491719213324, 1
CON indian N12,-2.14, 1
CON bugis 011,-2.14, 1
CON chinese 048,-2.15, 1
CON korean 214,-2.1619042964977013, 1
CON egyptian 009,-2.21, 1
CON hawaiian_starlines KOM,-2.2192871740429325, 1
CON chinese 227,-2.23, 2
CON macedonian 004,-2.25, 1
#CON arabic_arabian_peninsula 4202,-2.25, 15
CON romanian Sfm,-2.25, 1
CON belarusian 020,-2.28, 1
CON inuit 005,-2.28, 1
CON chinese 151,-2.29, 1
CON korean 122,-2.2988795512499745, 2
CON korean 021,-2.3, 1
CON ruelle Cep,-2.3020775764311496, 1
CON korean 012,-2.33, 1
CON western_rey UMaP,-2.34, 2
CON indian N09,-2.3455566971105153, 1
